PRODUCTO;Modelo ;Descripcion ;Proveedor ;;Quantity;Price USD
ID-00005166;111001;CADENA GALVANIZADA 30MM X METRO;PROCOM;SIN RAMO;21;36,67
ID-00005167;111002;CADENA GALVANIZADA 40MM X METRO;PROCOM;SIN RAMO;50;318,95
ID-00005168;003;MASCARA DE SOLDAR FOTOSENSIBLE;ALEJANDRO BERMON;KUSHIRO;38;1995417,04
ID-00005169;1062;MASCARA DE SOLDAR FOTOSENSIBLE ROJA;ALEJANDRO BERMON;KUSHIRO;3;25266,55
ID-00005170;005;"CAJA DE HERRAMIENTA METALICA 19""";ALEJANDRO BERMON;SIN RAMO;1;5928,66
ID-00005171;006;"CAJA DE HERRAMIENTA METALICA 23""";ALEJANDRO BERMON;SIN RAMO;0;0,00
ID-00005172;PMK2L;PULVERIZADOR KUSHIRO 2LTS;ANGAR DISTRIBUCIONES;KUSHIRO;2;2107,56
ID-00005173;0;0;SIN PROVEDOR;SIN RAMO;2;0,00
ID-00005174;2309;PEINE PARA TERRAJA DE 1/2-2;BREMEN TOOLS ARGENTINA S.A.;BREMEN;2;3,58
ID-00005175;04-02-0055;CADENA P/MOTOSIERRA X ESLABON 3/8P;CHAPUR S.A;TMC;9998;4884,20
ID-00005176;CP/RN;CARRO PAQUETERO DUROLL R/NEUM. 150KG;METALURGICA DUROLL S.R.L.;DUROLL;0;0,00
ID-00005177;;BARRA X 6MTS SAE 1045 RED.TRAF38.1MM;BEMET S.A;SIN RAMO;2;11,20
ID-00005178;;;;;0;0,00
ID-00005179;;;;;0;0,00
ID-00005180;;60STST515155L MOCHILA P/ HERRAMIENTAS STANLEY;RC DISTRIBUCIONES S.R.L;STANLEY;0;0,00
ID-00005181;230.330.117;PANTALLA SOLAR DE 450 WTS 24V;FIASA S.A.I.C Y F.;FIASA;0;0,00
ID-00005182;HTP001;TALADRO C/PERCUTOR 500W. 13MM;GACINOL S.R.L;HAMILTON;2;141098,65
ID-00005183;HTP005;TALADRO C/PERCUTOR 1200W 13MM;GACINOL S.R.L;HAMILTON;0;0,00
ID-00005184;9931108;MALETIN DE ALUM PORTA HERRAMIENTAS;MORANO;CROSSMASTER;2;155,86
ID-00005185;GE3470AR;GRUPO ELECTROGENO 2000 INVERTER GAMMA;GRUPO SIMPA S.A.;GAMMA;0;0,00
ID-00005186;FPII0011;PISTOLA DE PINTAR P/GRAVEDAD 200CC;CASA VUL;SIN RAMO;1;6,08
ID-00005187;170066;PISTOLA C/TACHO ROCIADORA KITANA 1L;PROCOM;SIN RAMO;3;31,90
ID-00005188;FPIF0008;PISTOLA P/ARENAR;CASA VUL;SIN RAMO;2;14,53
ID-00005189;02590;CINTA DESTAPA CAÑERIA 5MTS;BERMON DISTRIBUIDORA S.R.L;EL ABUELO;1;16,99
ID-00005190;00022;PALA P/CAMPING FORJADA C/CORTO;BERMON DISTRIBUIDORA S.R.L;GHERARDI;6;161,60
ID-00005191;L00073;GRASA GRAFITADA  X 250GR PENETRIT;ANGAR DISTRIBUCIONES;PENETRIT;3;3462,69
